# solver	iter	churn	stddev
cspf	0	132.000000	0.000000
cspf	1	34.000000	0.000000
cspf	2	28.000000	0.000000
cspf	3	38.000000	0.000000
cspf	4	32.000000	0.000000
cspf	5	32.000000	0.000000
cspf	6	28.000000	0.000000
cspf	7	18.000000	0.000000
cspf	8	34.000000	0.000000
cspf	9	40.000000	0.000000
cspf	10	24.000000	0.000000
cspf	11	30.000000	0.000000
cspf	12	30.000000	0.000000
cspf	13	28.000000	0.000000
cspf	14	38.000000	0.000000
cspf	15	34.000000	0.000000
cspf	16	34.000000	0.000000
cspf	17	40.000000	0.000000
cspf	18	34.000000	0.000000
cspf	19	32.000000	0.000000
cspf	20	32.000000	0.000000
cspf	21	30.000000	0.000000
cspf	22	26.000000	0.000000
cspf	23	30.000000	0.000000
cspf	24	30.000000	0.000000
cspf	25	32.000000	0.000000
cspf	26	36.000000	0.000000
cspf	27	38.000000	0.000000
cspf	28	44.000000	0.000000
cspf	29	30.000000	0.000000
cspf	30	36.000000	0.000000
cspf	31	34.000000	0.000000
cspf	32	30.000000	0.000000
cspf	33	34.000000	0.000000
cspf	34	30.000000	0.000000
cspf	35	30.000000	0.000000
mcf	0	132.000000	0.000000
mcf	1	38.000000	0.000000
mcf	2	58.000000	0.000000
mcf	3	68.000000	0.000000
mcf	4	54.000000	0.000000
mcf	5	52.000000	0.000000
mcf	6	66.000000	0.000000
mcf	7	74.000000	0.000000
mcf	8	78.000000	0.000000
mcf	9	72.000000	0.000000
mcf	10	62.000000	0.000000
mcf	11	40.000000	0.000000
mcf	12	50.000000	0.000000
mcf	13	64.000000	0.000000
mcf	14	74.000000	0.000000
mcf	15	58.000000	0.000000
mcf	16	56.000000	0.000000
mcf	17	62.000000	0.000000
mcf	18	70.000000	0.000000
mcf	19	66.000000	0.000000
mcf	20	68.000000	0.000000
mcf	21	56.000000	0.000000
mcf	22	70.000000	0.000000
mcf	23	78.000000	0.000000
mcf	24	76.000000	0.000000
mcf	25	68.000000	0.000000
mcf	26	62.000000	0.000000
mcf	27	62.000000	0.000000
mcf	28	64.000000	0.000000
mcf	29	44.000000	0.000000
mcf	30	68.000000	0.000000
mcf	31	56.000000	0.000000
mcf	32	90.000000	0.000000
mcf	33	78.000000	0.000000
mcf	34	82.000000	0.000000
mcf	35	54.000000	0.000000
helixMC	0	146.000000	0.000000
helixMC	1	0.000000	0.000000
helixMC	2	20.000000	0.000000
helixMC	3	0.000000	0.000000
helixMC	4	8.000000	0.000000
helixMC	5	8.000000	0.000000
helixMC	6	10.000000	0.000000
helixMC	7	12.000000	0.000000
helixMC	8	24.000000	0.000000
helixMC	9	4.000000	0.000000
helixMC	10	2.000000	0.000000
helixMC	11	0.000000	0.000000
helixMC	12	16.000000	0.000000
helixMC	13	18.000000	0.000000
helixMC	14	10.000000	0.000000
helixMC	15	18.000000	0.000000
helixMC	16	10.000000	0.000000
helixMC	17	18.000000	0.000000
helixMC	18	32.000000	0.000000
helixMC	19	4.000000	0.000000
helixMC	20	16.000000	0.000000
helixMC	21	14.000000	0.000000
helixMC	22	16.000000	0.000000
helixMC	23	10.000000	0.000000
helixMC	24	12.000000	0.000000
helixMC	25	18.000000	0.000000
helixMC	26	28.000000	0.000000
helixMC	27	8.000000	0.000000
helixMC	28	0.000000	0.000000
helixMC	29	18.000000	0.000000
helixMC	30	8.000000	0.000000
helixMC	31	8.000000	0.000000
helixMC	32	10.000000	0.000000
helixMC	33	0.000000	0.000000
helixMC	34	12.000000	0.000000
helixMC	35	10.000000	0.000000

